knot,p,q,Ord,Ordv_pq,Result
knot,p,q,Ord,Ordv_pq,Result
m004,2,3,1,2,False
m004,2,5,1,2,False
m004,2,7,1,2,False
m004,2,9,1,2,False
m004,2,11,1,2,False
m015,2,3,1,2,False
m015,2,5,1,3,True
m015,2,7,1,3,True
m015,2,9,1,3,True
m015,2,11,1,3,True
m032,2,3,1,2,False
m032,2,5,1,2,False
m032,2,7,1,2,False
m032,2,9,1,2,False
m032,2,11,1,2,False
m053,2,3,1,2,False
m053,2,5,1,3,True
m053,2,7,1,3,True
m053,2,9,1,3,True
m053,2,11,1,3,True
m074,2,3,1,2,False
m074,2,5,1,2,False
m074,2,7,1,2,False
m074,2,9,1,2,False
m074,2,11,1,2,False
m094,2,3,1,2,False
m094,2,5,1,3,True
m094,2,7,1,3,True
m094,2,9,1,3,True
m094,2,11,1,3,True
m199,2,7,1,2,False
m199,2,9,1,2,False
m199,2,11,1,2,False
